MONTH,COUNTRY,REGION,CAUSE,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY
July,PERU,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.0,30.0,
February,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Probable Tsunami,6.8,33.0,0.5
October,"MICRONESIA, FED. STATES OF","E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Very Doubtful Tsunami,6.9,33.0,0.0
June,JAPAN,Japan,Earthquake,Probable Tsunami,6.6,100.0,0.0
September,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,7.3,,
May,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Questionable Tsunami,,,0.0
March,JAPAN,Japan,Earthquake,Definite Tsunami,6.7,,
September,USA,"Hawaii, Johnston Atoll, Midway I",Earthquake,Definite Tsunami,6.8,33.0,0.0
February,USA,Alaska (including Aleutian Islands),Earthquake and Landslide,Very Doubtful Tsunami,6.0,,
February,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Probable Tsunami,7.5,130.0,1.0
December,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Questionable Tsunami,7.4,33.0,
March,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Very Doubtful Tsunami,7.3,500.0,2.0
December,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,6.5,,0.0
September,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Very Doubtful Tsunami,,,0.0
December,CHILE,West Coast of South America,Earthquake,Probable Tsunami,6.5,,
July,MEXICO,West Coast of North and Central America,Earthquake,Very Doubtful Tsunami,,,
March,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Questionable Tsunami,6.5,33.0,0.0
September,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,7.1,,1.5
September,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,6.8,,
October,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,6.8,,0.0
January,JAPAN,Japan,Earthquake,Definite Tsunami,7.6,,-2.5
May,JAPAN,Japan,Earthquake,Very Doubtful Tsunami,,,0.5
July,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Very Doubtful Tsunami,6.0,,0.0
June,JAPAN,Japan,Earthquake,Definite Tsunami,6.9,,1.0
June,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.0,,1.5
December,JAPAN,Japan,Earthquake,Definite Tsunami,6.5,,0.0
May,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Probable Tsunami,,,1.0
July,MEXICO,West Coast of North and Central America,Earthquake,Very Doubtful Tsunami,,,1.0
June,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Questionable Tsunami,,,
November,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,6.0,,1.0
March,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Very Doubtful Tsunami,,,
December,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Very Doubtful Tsunami,,,
November,CHILE,West Coast of South America,Earthquake,Probable Tsunami,,,0.5
April,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,7.3,,0.5
October,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,7.5,,0.5
September,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,,,
February,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,,,
October,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,,,
August,JAMAICA,Caribbean Sea,Earthquake,Very Doubtful Tsunami,,,
July,CHILE,West Coast of South America,Earthquake,Probable Tsunami,,,1.0
October,USA,Alaska (including Aleutian Islands),Earthquake and Landslide,Probable Tsunami,6.3,,0.0
September,USA,Alaska (including Aleutian Islands),Earthquake,Probable Tsunami,6.3,,
August,USA,Alaska (including Aleutian Islands),Volcano and Earthquake,Very Doubtful Tsunami,,,1.5
June,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,,,0.0
March,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,,,0.0
February,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,,,1.0
January,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,7.5,,3.0
October,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,,,0.5
August,CHILE,West Coast of South America,Earthquake,Probable Tsunami,,,0.5
May,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,,,
May,PERU,West Coast of South America,Earthquake,Questionable Tsunami,,,1.0
May,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,6.8,50.0,-1.0
May,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Questionable Tsunami,7.0,,0.5
February,MEXICO,West Coast of North and Central America,Earthquake,Very Doubtful Tsunami,,,
November,USA,West Coast of North and Central America,Earthquake and Landslide,Probable Tsunami,6.7,,
November,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,,,2.0
August,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,,,0.0
January,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Probable Tsunami,6.0,,1.5
December,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,,,0.5
August,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Very Doubtful Tsunami,,,0.0
February,PERU,West Coast of South America,Earthquake,Questionable Tsunami,,,1.0
August,CHILE,West Coast of South America,Earthquake,Probable Tsunami,,,1.5
March,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,6.0,33.0,0.5
February,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,6.3,,0.0
November,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Probable Tsunami,7.5,,1.0
September,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,7.5,,-2.0
May,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Questionable Tsunami,6.2,,0.5
September,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,7.8,35.0,
February,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Very Doubtful Tsunami,7.7,,
May,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,8.2,35.0,1.0
April,TONGA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,8.1,25.0,1.5
January,TONGA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Very Doubtful Tsunami,8.3,180.0,
December,CHILE,West Coast of South America,Earthquake,Definite Tsunami,7.8,33.0,2.5
November,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.8,33.0,2.0
May,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,7.9,80.0,
February,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake and Landslide,Definite Tsunami,7.5,33.0,-1.0
November,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Questionable Tsunami,7.5,60.0,1.0
July,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Questionable Tsunami,7.5,,1.0
May,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,8.0,60.0,3.0
January,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Probable Tsunami,6.4,33.0,
January,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Questionable Tsunami,7.8,40.0,
January,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Probable Tsunami,6.6,33.0,
April,PANAMA,Caribbean Sea,Earthquake,Definite Tsunami,7.0,25.0,
January,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,7.9,35.0,2.0
November,JAPAN,Japan,Earthquake,Definite Tsunami,7.8,60.0,0.5
September,EL SALVADOR,West Coast of North and Central America,Earthquake,Very Doubtful Tsunami,7.9,80.0,0.5
November,GREECE,Mediterranean Sea,Earthquake and Landslide,Very Doubtful Tsunami,6.3,30.0,4.0
June,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,7.6,35.0,
January,JAPAN,Japan,Volcano and Earthquake,Definite Tsunami,7.1,33.0,-1.0
August,PERU,West Coast of South America,Earthquake,Questionable Tsunami,7.9,33.0,
July,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,7.8,50.0,
June,JAPAN,Japan,Earthquake,Definite Tsunami,8.0,160.0,1.5
December,USA TERRITORY,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,8.0,100.0,
August,JAPAN,Japan,Earthquake,Definite Tsunami,6.9,33.0,
July,MEXICO,West Coast of North and Central America,Earthquake,Questionable Tsunami,7.4,,
June,CHILE,West Coast of South America,Earthquake,Event that only caused a seiche or disturbance in an inland river,7.6,,
June,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,7.6,40.0,1.0
March,JAPAN,Japan,Earthquake,Definite Tsunami,7.5,80.0,
December,PERU,West Coast of South America,Questionable Earthquake,Very Doubtful Tsunami,,,
April,MEXICO,West Coast of North and Central America,Earthquake,Probable Tsunami,8.1,,
January,JAMAICA,Caribbean Sea,Earthquake,Definite Tsunami,6.5,,
December,PERU,West Coast of South America,Earthquake,Questionable Tsunami,7.9,33.0,
October,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,7.2,,1.5
September,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,8.0,33.0,1.5
August,CHILE,West Coast of South America,Earthquake,Probable Tsunami,8.2,25.0,2.0
April,USA,West Coast of North and Central America,Earthquake and Landslide,Definite Tsunami,7.9,33.0,-4.0
April,INDIA,Indian Ocean (including west coast of Australia),Earthquake,Event that only caused a seiche or disturbance in an inland river,7.8,25.0,
August,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Very Doubtful Tsunami,7.2,33.0,
June,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Probable Tsunami,8.1,,
June,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,8.3,30.0,2.0
January,COLOMBIA,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.9,33.0,
August,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,7.3,,2.0
July,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,6.6,,2.0
December,USA,Alaska (including Aleutian Islands),Earthquake,Very Doubtful Tsunami,7.1,25.0,
September,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,7.0,,0.0
August,JAPAN,Japan,Earthquake,Definite Tsunami,6.3,33.0,
August,JAPAN,Japan,Earthquake,Definite Tsunami,7.4,33.0,-1.0
August,JAPAN,Japan,Earthquake,Definite Tsunami,7.2,33.0,-0.5
June,JAPAN,Japan,Earthquake,Definite Tsunami,7.5,33.0,-1.5
October,VENEZUELA,Caribbean Sea,Earthquake,Probable Tsunami,8.4,25.0,
December,USA,West Coast of North and Central America,Meteorological,Very Doubtful Tsunami,6.4,,0.5
November,JAPAN,Japan,Earthquake,Definite Tsunami,7.1,,-1.0
September,USA,Alaska (including Aleutian Islands),Earthquake and Landslide,Definite Tsunami,8.2,25.0,3.0
September,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,8.2,,0.0
January,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,6.6,,3.0
April,JAPAN,Japan,Earthquake,Definite Tsunami,7.2,,-3.0
March,USA,West Coast of North and Central America,Meteorological,Very Doubtful Tsunami,6.2,,2.0
August,JAPAN,Japan,Earthquake,Definite Tsunami,7.7,,1.0
February,JAPAN,Japan,Earthquake,Definite Tsunami,7.4,33.0,
October,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,,-1.0
July,TURKEY,Mediterranean Sea,Earthquake,Definite Tsunami,6.7,,3.0
April,GREECE,Mediterranean Sea,Earthquake and Landslide,Definite Tsunami,7.0,,4.0
March,JAPAN,Japan,Earthquake,Definite Tsunami,7.9,,1.5
June,ALBANIA,Mediterranean Sea,Earthquake,Questionable Tsunami,7.5,,3.0
April,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,6.4,,
February,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,6.5,,3.0
May,USA TERRITORY,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,7.5,,0.5
May,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Probable Tsunami,6.8,,-3.0
October,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,6.2,,3.0
September,HAITI,Caribbean Sea,Earthquake,Definite Tsunami,,,
May,MEXICO,West Coast of North and Central America,Earthquake and Landslide,Very Doubtful Tsunami,8.0,,1.0
February,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,,,
August,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,7.5,,3.0
November,PANAMA,West Coast of North and Central America,Earthquake,Very Doubtful Tsunami,7.5,,
December,INDIA,Indian Ocean (including west coast of Australia),Earthquake,Probable Tsunami,7.9,,
August,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.7,,0.5
July,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake and Landslide,Definite Tsunami,7.5,100.0,0.0
January,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.9,40.0,
August,CHILE,West Coast of South America,Earthquake,Probable Tsunami,7.5,,1.5
December,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,6.9,,3.0
April,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Volcano,Very Doubtful Tsunami,,,2.0
March,JAPAN,Japan,Earthquake,Definite Tsunami,7.4,33.0,1.0
November,USA,West Coast of North and Central America,Landslide,Probable Tsunami,,,1.5
February,USA TERRITORY,"E Coast Australia, New Zealand, South Pacific Is.",Meteorological,Very Doubtful Tsunami,,,
October,USA,Alaska (including Aleutian Islands),Volcano and Landslide,Definite Tsunami,,,3.0
January,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Volcano,Definite Tsunami,,,
October,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,6.9,,1.5
March,NEW CALEDONIA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,8.0,,2.5
September,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,8.2,33.0,3.0
August,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,8.3,33.0,2.5
June,SAMOA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,8.3,25.0,3.0
May,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Definite Tsunami,8.1,15.0,2.0
August,NEW CALEDONIA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.9,,
September,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,8.7,33.0,2.5
September,PANAMA,Caribbean Sea,Earthquake and Landslide,Definite Tsunami,7.9,40.0,1.0
March,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.3,,2.0
July,JAPAN,Japan,Earthquake,Probable Tsunami,7.0,33.0,
February,EL SALVADOR,West Coast of North and Central America,Earthquake,Probable Tsunami,7.0,,2.0
March,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Volcano,Definite Tsunami,,,3.5
January,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,,,1.5
December,ALBANIA,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,5.6,,5.0
October,USA TERRITORY,Caribbean Sea,Earthquake and Landslide,Definite Tsunami,7.1,15.0,
January,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,7.6,50.0,2.0
January,ECUADOR,West Coast of South America,Earthquake,Definite Tsunami,8.8,25.0,3.0
May,CHILE,West Coast of South America,Earthquake,Definite Tsunami,8.3,,3.5
June,JAPAN,Japan,Earthquake,Definite Tsunami,8.3,,3.8
December,ITALY,Mediterranean Sea,Earthquake and Landslide,Definite Tsunami,7.0,40.0,5.0
September,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake and Landslide,Definite Tsunami,7.8,,3.0
March,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Volcano and Landslide,Definite Tsunami,,,3.5
August,INDONESIA,Indian Ocean (including west coast of Australia),Volcano,Definite Tsunami,,,4.0
September,TAIWAN,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,7.6,,
August,CHILE,West Coast of South America,Meteorological,Questionable Tsunami,,,2.5
September,JAPAN,Japan,Volcano,Definite Tsunami,,,-1.0
June,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Volcano,Probable Tsunami,,,1.0
September,JAPAN,Japan,Volcano,Definite Tsunami,,,-1.0
March,INDONESIA,Indian Ocean (including west coast of Australia),Volcano,Very Doubtful Tsunami,,,
November,USA,"Hawaii, Johnston Atoll, Midway I",Meteorological,Very Doubtful Tsunami,,8.0,2.0
March,INDONESIA,Indian Ocean (including west coast of Australia),Volcano,Questionable Tsunami,,,2.0
January,RUSSIA,Kamchatka and Kuril Islands,Volcano,Definite Tsunami,6.0,33.0,2.0
December,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Volcano,Probable Tsunami,,,
March,INDONESIA,Indian Ocean (including west coast of Australia),Volcano,Very Doubtful Tsunami,,,
September,JAPAN,Japan,Volcano,Definite Tsunami,,,-1.0
March,RUSSIA,Kamchatka and Kuril Islands,Volcano,Questionable Tsunami,,,
October,USA,Alaska (including Aleutian Islands),Landslide,Definite Tsunami,,,4.0
September,JAPAN,Japan,Volcano,Definite Tsunami,,,
November,RUSSIA,Kamchatka and Kuril Islands,Volcano,Probable Tsunami,,,
August,USA,West Coast of North and Central America,Meteorological,Event that only caused a seiche or disturbance in an inland river,,,3.0
March,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Questionable Tsunami,,,
December,ANTARCTICA,West Coast of South America,Volcano,Very Doubtful Tsunami,,,0.0
October,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Volcano,Very Doubtful Tsunami,,,0.0
July,UK,Northeast Atlantic Ocean,Earthquake,Very Doubtful Tsunami,,,
March,JAPAN,Japan,Volcano,Definite Tsunami,,,-1.0
January,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,7.5,15.0,
July,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Questionable Tsunami,6.8,260.0,
September,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Event that only caused a seiche or disturbance in an inland river,6.4,80.0,-4.0
December,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Very Doubtful Tsunami,,,
November,JAPAN,Japan,Earthquake,Definite Tsunami,7.1,20.0,-0.5
January,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.1,55.0,
April,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,5.2,,
March,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Probable Tsunami,5.8,,
August,PORTUGAL,Northeast Atlantic Ocean,Earthquake,Very Doubtful Tsunami,5.8,10.0,
May,TURKEY,Mediterranean Sea,Earthquake,Probable Tsunami,6.5,,
August,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Very Doubtful Tsunami,7.0,35.0,
October,USA,Alaska (including Aleutian Islands),Earthquake and Landslide,Probable Tsunami,7.1,25.0,
August,ICELAND,Northeast Atlantic Ocean,Earthquake,Very Doubtful Tsunami,,,
February,JAPAN,Japan,Earthquake,Definite Tsunami,7.3,20.0,-1.5
February,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Questionable Tsunami,6.0,,-0.5
August,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,,33.0,
December,CHILE,West Coast of South America,Earthquake,Probable Tsunami,7.5,33.0,0.0
June,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Probable Tsunami,6.3,,0.0
May,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,40.0,-2.0
March,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Very Doubtful Tsunami,7.0,38.0,
August,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Questionable Tsunami,7.3,33.0,1.0
July,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,6.8,15.0,-2.0
April,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,60.0,-3.5
July,JAPAN,Japan,Earthquake,Definite Tsunami,6.7,30.0,-3.0
October,JAPAN,Japan,Earthquake,Definite Tsunami,6.7,10.0,-4.0
February,PERU,West Coast of South America,Earthquake,Questionable Tsunami,5.5,,
January,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.0,33.0,
June,JAPAN,Japan,Earthquake,Definite Tsunami,7.1,20.0,-0.5
May,JAPAN,Japan,Earthquake,Definite Tsunami,7.1,,
August,JAPAN,Japan,Earthquake,Definite Tsunami,6.4,20.0,
May,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,6.8,33.0,0.5
November,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Questionable Tsunami,6.0,33.0,
May,JAPAN,Japan,Earthquake,Definite Tsunami,6.9,30.0,0.0
July,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.0,33.0,
May,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,7.1,50.0,
January,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.3,40.0,-1.0
November,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,5.9,35.0,
September,PERU,West Coast of South America,Earthquake,Questionable Tsunami,7.0,40.0,-1.5
October,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,6.5,28.0,
August,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.0,13.0,2.5
July,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,6.5,40.0,-2.0
June,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.2,,-3.0
March,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,6.0,58.0,
February,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.0,36.0,
December,JAPAN,Japan,Earthquake,Definite Tsunami,6.3,40.0,-3.0
December,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,6.6,64.0,0.0
October,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.1,48.0,-2.0
May,JAPAN,Japan,Earthquake,Questionable Tsunami,5.7,60.0,-2.0
April,JAPAN,Japan,Earthquake,Definite Tsunami,7.2,25.0,-2.0
March,PANAMA,West Coast of North and Central America,Earthquake,Probable Tsunami,6.8,35.0,
October,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,6.5,15.0,
August,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,80.0,-4.0
August,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Questionable Tsunami,6.4,25.0,
July,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,7.3,45.0,-0.5
July,JAPAN,Japan,Earthquake,Definite Tsunami,6.6,60.0,-3.0
February,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,6.6,80.0,-0.5
January,JAPAN,Japan,Earthquake,Definite Tsunami,6.5,20.0,-2.0
January,JAPAN,Japan,Earthquake,Definite Tsunami,6.4,20.0,-2.0
January,JAPAN,Japan,Earthquake,Definite Tsunami,6.8,40.0,-2.0
November,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.4,55.0,
June,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,6.6,33.0,0.0
March,JAPAN,Japan,Earthquake,Definite Tsunami,6.7,20.0,-2.5
March,JAPAN,Japan,Earthquake,Definite Tsunami,7.5,20.0,-2.0
April,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Questionable Tsunami,5.0,40.0,-2.0
February,PERU,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.4,19.0,-2.0
January,JAPAN,Japan,Earthquake,Definite Tsunami,6.8,40.0,-2.0
November,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Questionable Tsunami,7.0,29.0,-1.0
November,PACIFIC OCEAN,West Coast of South America,Earthquake,Very Doubtful Tsunami,6.1,,
September,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Questionable Tsunami,5.0,40.0,-1.0
October,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Questionable Tsunami,6.0,,0.0
September,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Probable Tsunami,5.5,,
December,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.0,33.0,
March,JAPAN,Japan,Earthquake,Definite Tsunami,6.3,20.0,-2.0
October,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,7.3,35.0,
September,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,6.5,33.0,
May,INDIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,7.3,,
January,VENEZUELA,Caribbean Sea,Earthquake,Questionable Tsunami,5.5,,
November,JAPAN,Japan,Earthquake,Definite Tsunami,6.1,30.0,-1.0
May,DOMINICAN REPUBLIC,Caribbean Sea,Earthquake,Questionable Tsunami,7.2,33.0,
May,COSTA RICA,West Coast of North and Central America,Earthquake,Questionable Tsunami,6.9,64.0,-3.0
March,USA,"Hawaii, Johnston Atoll, Midway I",Earthquake,Definite Tsunami,4.5,33.0,0.0
November,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,7.3,33.0,
October,GUATEMALA,West Coast of North and Central America,Earthquake,Definite Tsunami,7.5,65.0,-1.0
March,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Questionable Tsunami,5.8,,0.0
October,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.5,60.0,-1.0
