MONTH,COUNTRY,REGION,CAUSE,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY
September,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Probable Tsunami,8.0,,3.5
May,JAPAN,Japan,Earthquake,Definite Tsunami,6.4,,
November,HONDURAS,Caribbean Sea,Earthquake,Questionable Tsunami,,,
April,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,,1.0
September,JAPAN,Japan,Earthquake,Definite Tsunami,6.7,,1.0
September,JAPAN,Japan,Earthquake,Probable Tsunami,7.0,,2.0
November,JAPAN,Japan,Earthquake,Definite Tsunami,7.1,,1.0
January,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,,1.0
December,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,,1.0
August,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,,
October,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,,1.0
October,JAPAN,Japan,Earthquake,Definite Tsunami,7.5,,2.0
May,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,,1.0
May,CYPRUS,Mediterranean Sea,Earthquake,Probable Tsunami,6.6,,4.0
August,JAPAN,Japan,Earthquake,Definite Tsunami,7.4,,1.0
July,JAPAN,Japan,Earthquake,Definite Tsunami,6.5,,1.0
June,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,7.5,,1.0
November,CHINA,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,,,2.0
April,MARTINIQUE (FRENCH TERRITORY),Caribbean Sea,Earthquake,Probable Tsunami,,,
March,JAPAN,Japan,Earthquake,Definite Tsunami,7.8,,1.0
October,JAPAN,Japan,Earthquake,Definite Tsunami,6.6,,1.0
September,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Questionable Tsunami,,,0.0
August,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,6.5,,0.0
,MYANMAR (BURMA),Indian Ocean (including west coast of Australia),Earthquake,Very Doubtful Tsunami,,,4.0
June,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,,1.5
,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,,1.0
November,JAPAN,Japan,Earthquake and Landslide,Definite Tsunami,7.0,,1.0
December,TURKEY,Mediterranean Sea,Earthquake,Questionable Tsunami,,,3.0
August,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,,2.0
May,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,,1.0
January,TURKEY,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,7.3,,4.0
